b,и
d,в
yt,не
jy,он
yf,на
z,я
xnj,что
njn,тот
_15snm,быть
c,с
f,а
dtcm,весь
_14nj,это
rfr,как
jyf,она
gj,по
yj,но
jyb,они
r,к
e,у
bp,из
vs,мы
pf,за
ns,ты
ds,вы
nfr,так
_13t,же
crfpfnm,сказать
jn,от
_14njn,этот
rjnjhsq,который
vjxm,мочь
j,о
xtkjdtr,человек
jlby,один
to_10,ещё
_15s,бы
nfrjq,такой
njkmrj,только
ct_15z,себя
rfrjq,какой
lkz,для
e_13t,уже
rjulf,когда
rnj,кто
djn,вот
lf,да
ujl,год
pyfnm,знать
tckb,если
lj,до
ujdjhbnm,говорить
bkb,или
vjq,мой
dhtvz,время
herf,рука
cfvsq,самый
ytn,нет
yb,ни
cnfnm,стать
_15jkmijq,большой
lf_13t,даже
lheujq,другой
cdjq,свой
ltkj,дело
gjl,под
ult,где
xnj_15s,чтобы
ye,ну
cfv,сам
tcnm,есть
hfp,раз
ldf,два
x_10v,чём
nfv,там
ukfp,глаз
gthdsq,первый
ltym,день
_13bpym,жизнь
ybxnj,ничто
gjnjv,потом
jxtym,очень
kb,ли
ghb,при
_11jntnm,хотеть
yflj,надо
ujkjdf,голова
_15tp,без
dbltnm,видеть
ntgthm,теперь
blnb,идти
lheu,друг
ctqxfc,сейчас
cnjznm,стоять
ljv,дом
nj_13t,тоже
gjckt,после
vj_13yj,можно
ckjdj,слово
xthtp,через
vtcnj,место
levfnm,думать
pltcm,здесь
cghjcbnm,спросить
kbwj,лицо
njulf,тогда
ljk_13ysq,должный
dtlm,ведь
yjdsq,новый
rf_13lsq,каждый
_11jhjibq,хороший
_13bnm,жить
gjxtve,почему
gjnjve,потому
cnjhjyf,сторона
cvjnhtnm,смотреть
bvtnm,иметь
ghjcnj,просто
gjyznm,понять
cbltnm,сидеть
j_15,об
yjuf,нога
ltkfnm,делать
cltkfnm,сделать
dlheu,вдруг
ybrnj,никто
hf_15jnf,работа
gthtl,перед
ye_13ysq,нужный
yfl,над
dpznm,взять
rjytxyj,конечно
gjybvfnm,понимать
ldthm,дверь
rfpfnmcz,казаться
nhb,три
rjytw,конец
ujhjl,город
ytcrjkmrj,несколько
yfxfnm,начать
ujkjc,голос
xfc,час
gjrf,пока
gjcktlybq,последний
_15jktt,более
ptvkz,земля
_11jhjij,хорошо
_11jnz,хотя
cbkf,сила
djlf,вода
dnjhjq,второй
edbltnm,увидеть
dctulf,всегда
lfdfnm,давать
ckexfq,случай
relf,куда
gjqnb,пойти
cnjk,стол
vfibyf,машина
vbh,мир
yjxm,ночь
_13tyobyf,женщина
jcnfnmcz,остаться
chfpe,сразу
cjdctv,совсем
ht_15_10yjr,ребёнок
dsqnb,выйти
dbl,вид
jntw,отец
djghjc,вопрос
lfnm,дать
hf_15jnfnm,работать
jrfpfnmcz,оказаться
hzl,ряд
gjxnb,почти
cyjdf,снова
cnfhsq,старый
cnhfyf,страна
ndjq,твой
vt_13le,между
jndtnbnm,ответить
vyjuj,много
djqyf,война
gjlevfnm,подумать
k_16_15bnm,любить
pyfxbnm,значить
_15tksq,белый
ukfdysq,главный
vbyenf,минута
kbim,лишь
njdfhbo,товарищ
jgznm,опять
_13lfnm,ждать
jlyfrj,однако
ghfdlf,правда
gjcvjnhtnm,посмотреть
ghj,про
ybrjulf,никогда
_15elnj,будто
xfcnm,часть
bvtyyj,именно
yfqnb,найти
ljhjuf,дорога
cdtn,свет
_13tyf,жена
ybrfrjq,никакой
kt_13fnm,лежать
jryj,окно
jccbz,Россия
vfnm,мать
htibnm,решить
gjkexbnm,получить
jcrdf,Москва
gbcfnm,писать
ekbwf,улица
dthyenmcz,вернуться
djj_15ot,вообще
ytrjnjhsq,некоторый
lfk_10rbq,далёкий
vfktymrbq,маленький
cxbnfnm,считать
rjvyfnf,комната
enhj,утро
cjdtncrbq,советский
dtxth,вечер
ctujlyz,сегодня
leif,душа
rybuf,книга
gktxj,плечо
dvtcnt,вместе
nfrb,таки
xenm,чуть
gjk,пол
gjvybnm,помнить
crjkmrj,сколько
yfhjl,народ
_11jnm,хоть
dpukzl,взгляд
heccrbq,русский
pfxtv,зачем
bcnjhbz,история
gjkysq,полный
epyfnm,узнать
k_16_15jq,любой
_15ju,бог
ghbqnb,прийти
_11jlbnm,ходить
pfvtnbnm,заметить
bpdtcnysq,известный
gfktw,палец
ckjdyj,словно
yfrjytw,наконец
j_15obq,общий
bvz,имя
yfpfl,назад
_15sdfnm,бывать
vsckm,мысль
cksifnm,слышать
eqnb,уйти
ghjiksq,прошлый
_15jznmcz,бояться
_15scnhj,быстро
lfdyj,давно
ckeifnm,слушать
ghzvj,прямо
hfpujdjh,разговор
ljkuj,долго
ytkmpz,нельзя
gj_11j_13bq,похожий
ghfdj,право
ktc,лес
gznm,пять
ukzltnm,глядеть
csy,сын
genm,путь
nsczxf,тысяча
gjhf,пора
rhfcysq,красный
ctcnm,сесть
jyj,оно
rhjvt,кроме
cntyf,стена
jcnfdfnmcz,оставаться
_13,ж
dscjrbq,высокий
_11jntnmcz,хотеться
cjdthityyj,совершенно
gj_14njve,поэтому
yfgbcfnm,написать
gecnm,пусть
hfyybq,ранний
xbnfnm,читать
xedcndjdfnm,чувствовать
cgbyf,спина
vtczw,месяц
wtksq,целый
dtcnb,вести
vjkjljq,молодой
juhjvysq,огромный
ntkj,тело
yfcnjzobq,настоящий
ghjljk_13fnm,продолжать
njxyj,точно
zpsr,язык
vfvf,мама
chtlb,среди
cnfhbr,старик
ecgtnm,успеть
cvthnm,смерть
dkfcnm,власть
vfkmxbr,мальчик
nfr_13t,также
_15hfnm,брать
j_15hfp,образ
gbcmvj,письмо
_13bdjq,живой
jnyjitybt,отношение
cthlwt,сердце
rj,ко
yfxfkmybr,начальник
ghjqnb,пройти
yfxbyfnm,начинать
djrheu,вокруг
gjzdbnmcz,появиться
x_10hysq,чёрный
ltdeirf,девушка
cjklfn,солдат
byjulf,иногда
pf_15snm,забыть
dcgjvybnm,вспомнить
yt_15j,небо
pfntv,затем
cbcntvf,система
djple_11,воздух
j_15f,оба
cj_15cndtyysq,собственный
gsnfnmcz,пытаться
yf_11jlbnmcz,находиться
lth_13fnm,держать
ghjcbnm,просить
gjrfpfnm,показать
hfpysq,разный
ht_15znf,ребята
_15hfn,брат
rdfhnbhf,квартира
jnrelf,откуда
ds_11jlbnm,выходить
xtnsht,четыре
gjlyznm,поднять
utythfk,генерал
yfpsdfnm,называть
nhtnbq,третий
gjckfnm,послать
gjljqnb,подойти
hfccrfpfnm,рассказать
jcj_15tyyj,особенно
rhjdm,кровь
dcnfnm,встать
ifu,шаг
cghfibdfnm,спрашивать
_11jpzby,хозяин
dybvfybt,внимание
cktljdfnm,следовать
gjcnfdbnm,поставить
_15hjcbnm,бросить
dhjlt,вроде
dtkbrbq,великий
yfghbvth,например
jcnfdbnm,оставить
nelf,туда
ltqcndbntkmyj,действительно
vfkj,мало
irjkf,школа
hfdyj,равно
nhel,труд
rfgbnfy,капитан
c_16lf,сюда
ckbirjv,слишком
cktle_16obq,следующий
nz_13_10ksq,тяжёлый
gfhtym,парень
uheggf,группа
cjkywt,солнце
k_16_15jdm,любовь
jndtxfnm,отвечать
e_11j,ухо
e_11jlbnm,уходить
ytltkz,неделя
djqnb,войти
xnj_15,чтоб
hfccrfpsdfnm,рассказывать
vjkxfnm,молчать
jndtn,ответ
ltcznm,десять
cgfnm,спать
ujnjdsq,готовый
zdkznmcz,являться
ldflwfnm,двадцать
_15thtu,берег
gjvjom,помощь
ve_13xbyf,мужчина
vjvtyn,момент
bcrfnm,искать
jcnfyjdbnmcz,остановиться
kbxysq,личный
ufptnf,газета
lkbyysq,длинный
dblyj,видно
ghjnbd,против
dthbnm,верить
xedcndj,чувство
gjhzljr,порядок
ctvmz,семья
fhvbz,армия
ytvyjuj,немного
buhfnm,играть
djpvj_13yjcnm,возможность
cbkmysq,сильный
hfpdt,разве
dghjxtv,впрочем
cnfyjdbnmcz,становиться
ldb_13tybt,движение
ve_13,муж
yjc,нос
nb_11j,тихо
pyfrjvsq,знакомый
jujym,огонь
ldjh,двор
cvjxm,смочь
byjq,иной
_15t_13fnm,бежать
crjhsq,скорый
